x,y,point,cell_size,name,description,subcatch_name
178376.67,323010.425,1,20,juliana kanaal,outlet Geul bij Julianakanaal,Geul
189258.8,318193.66,2,20,scheumerbeek,Ransdalerveld,Ransdalerveld
189912.65,316792.76,3,20,lange gracht,Vrakelbergerweg,Vrakelbergerweg
190842.35,314531.07,4,20,Gulp,Instroom Gulp in de Geul,x
191296,314670.96,5,20,Eyserbeek,Instroom Eyserbeek in de Geul,x
192016.15,313430.11,6,20,Selzerbeek,Instroom Selzerbeek in de Geul,x
192577.93,311792.21,7,20,Mechelsebeek,Instroom Mechelsebeek in de Geul,x
198494.83,302150.12,8,20,Hohnbach,Instroom Hohnback in de Geul,x
198516.44,302191.02,9,20,Geul bovenloop,Geul boven instroom Hohnbach,x
180679.94,321572.04,10,20,Watervalderbeek,"Watervalderbeek, voor ondergrondse aansluiting Geul",x
184957.91,320190,11,20,Strabeek,Strabeek 200m voordat deze in Geul stroomt,x
198018.47,310951.15,12,20,Selzerbeek,"Selzerbeek, bij Lemiers",Lemiers
178376.67,323010.425,1,5,juliana kanaal,outlet Geul bij Julianakanaal,Geul
189371.09,318249.55,2,5,scheumerbeek,Ransdalerveld,Ransdalerveld
190180.52,317048.11,3,5,lange gracht,Vrakelbergerweg,Vrakelbergerweg
190891.39,314593.5,4,5,Gulp,Instroom Gulp in de Geul,x
191225.95,314642.93,5,5,Eyserbeek,Instroom Eyserbeek in de Geul,x
192750.55,313604.28,6,5,Selzerbeek,Instroom Selzerbeek in de Geul,x
192526.68,311823.57,7,5,Mechelsebeek,Instroom Mechelsebeek in de Geul,x
198480.897,302165.183,8,5,Hohnbach,Instroom Hohnback in de Geul,x
198486.562,302177.51,9,5,Geul bovenloop,Geul boven instroom Hohnbach,x
180676.299,321568.214,10,5,Watervalderbeek,"Watervalderbeek, voor ondergrondse aansluiting Geul",x
185051.29,320233.15,11,5,Strabeek,Strabeek 200m voordat deze in Geul stroomt,x
198011.358,310942.38,12,5,Selzerbeek,"Selzerbeek, bij Lemiers",Lemiers
