x,y,point,cell_size,name,description,subcatch_name,code,
178376.67,323010.425,1,20,juliana kanaal,outlet Geul bij Julianakanaal,Geul,10.Q.36,
189258.8,318193.66,2,20,scheumerbeek,Ransdalerveld,Ransdalerveld,,
189912.65,316792.76,3,20,lange gracht,Vrakelbergerweg,Vrakelbergerweg,,
190797.423,314431.295,4,20,Gulp,Instroom Gulp in de Geul,Gulp,,
191296,314670.96,5,20,Eyserbeek,Instroom Eyserbeek in de Geul,x,,
192016.15,313430.11,6,20,Selzerbeek,Instroom Selzerbeek in de Geul,x,,
192577.93,311792.21,7,20,Mechelsebeek,Instroom Mechelsebeek in de Geul,x,,
198478.23,302152.52,8,20,Hohnbach,Instroom Hohnback in de Geul,x,,
198516.44,302191.02,9,20,Geul bovenloop,Geul boven instroom Hohnbach,x,,
180679.94,321572.04,10,20,Watervalderbeek,"Watervalderbeek, voor ondergrondse aansluiting Geul",Watervalderbeek,,
184957.91,310950.1,11,20,Strabeek,Strabeek 200m voordat deze in Geul stroomt,x,,
197996.63,310970.42,12,20,Selzerbeek,"Selzerbeek, bij Lemiers",Lemiers,12.H.228,
178376.101,323002.405,1,5,juliana kanaal,outlet Geul bij Julianakanaal,Geul,10.Q.36,
189371.09,318249.55,2,5,scheumerbeek,Ransdalerveld,Ransdalerveld,,
190180.52,317048.11,3,5,lange gracht,Vrakelbergerweg,Vrakelbergerweg,,
190891.39,314593.5,4,5,Gulp,Instroom Gulp in de Geul,Gulp,,
191225.95,314642.93,5,5,Eyserbeek,Instroom Eyserbeek in de Geul,x,,
192750.55,313604.28,6,5,Selzerbeek,Instroom Selzerbeek in de Geul,x,,
192526.68,311823.57,7,5,Mechelsebeek,Instroom Mechelsebeek in de Geul,x,,
198481.288,302162.77,8,5,Hohnbach,Instroom Hohnback in de Geul,x,,
198486.562,302177.51,9,5,Geul bovenloop,Geul boven instroom Hohnbach,x,,
180711.4,321672.81,10,5,Watervalderbeek,"Watervalderbeek, voor ondergrondse aansluiting Geul",Watervalderbeek,,
185051.29,320233.15,11,5,Strabeek,Strabeek 200m voordat deze in Geul stroomt,x,,
198011.358,310942.38,12,5,Selzerbeek,"Selzerbeek, bij Lemiers",Lemiers,12.H.228,
190538.56,313912.57,13,20,Azijnfabriek,Gulp meetpunt code = 13.Q.34,Gulp,13.Q.34,
190546.532,313922.935,13,5,Azijnfabriek,Gulp meetpunt code = 13.Q.34,Gulp,13.Q.34,
193214.33,315190.35,14,20,Eyserbeek,Eyserbeek meetgoot code = 11.Q.32,Eyserbeek,11.Q.32,
193211.624,315192.672,14,5,Eyserbeek,Eyserbeek meetgoot code = 11.Q.32,Eyserbeek,11.Q.32,
192665.616,313550.405,15,20,Selzerbeek,Selzerbeek meetpunt code = 12.Q.31,Partij,12.Q.31,
192666.26,313552.645,15,5,Selzerbeek,Selzerbeek meetpunt code = 12.Q.31,Partij,12.Q.31,
192116.32,313152.83,16,20,Hommerich,Geul meetpunt code = 10.Q.30,Hommerich,10.Q.30,
192111.578,313158.032,16,5,Hommerich,Geul meetpunt code = 10.Q.30,Hommerich,10.Q.30,
193598.35,307731.26,17,20,Cottessen,Geul meetpunt code = 10.Q.29,Cottessen,10.Q.29,
193596.5,307733.01,17,5,Cottessen,Geul meetpunt code = 10.Q.29,Cottessen,10.Q.29,
198446.138,302182.97,18,5,Kelmis,meetpunt Geul bij Kelmis,Kelmis,KELMIS_Q_001,
198476.64,302171.28,18,20,Kelmis,meetpunt Geul bij Kelmis,Kelmis,KELMIS_Q_001,
180952.99,322053.36,19,5,Pletsmolen,Instroom Watervalderbeek boven Meersen,Watervalderbeek,WATE_WATHTE_005,
180938.12,322051.19,19,20,Pletsmolen,Instroom Watervalderbeek boven Meersen,Watervalderbeek,WATE_WATHTE_005,
193962.948,315247.694,20,5,Eys,Meetpunt in dorp Eys,Eyserbeek,11.H.225,
193960.5,315248.49,20,20,Eys,Meetpunt in dorp Eys,Eyserbeek,11.H.225,
197516.76,316322.388,21,5,Simpelveld,Simpelveld,Simpelveld,11.H.227,
197518.61,316292.25,21,20,Simpelveld,Simpelveld,Simpelveld,11.H.227,
188511.616,309012.18,22,5,Slenaken,Slenaken,Gulp,13.H.25,
188511.616,309012.18,22,20,Slenaken,Slenaken,Gulp,13.H.25,
189620.437,307386.242,23,5,Teuven,Teuven,Gulp,13.H.159,
189620.437,307386.242,23,20,Teuven,Teuven,Gulp,13.H.159,
193705.77,307547.49,90,5,Sippenaeken,Test catchment,Sippenaeken,,
193716.07,307550.58,90,20,Sippenaeken,Test catchment,Sippenaeken,,
